id_concept;id_topic;id_test;id_question;weight;question;correct;A;B;C;D
01;0101;01;01;4;Dasar hukum pelaksanaan survei statistik di atur dalam UU nomor berapa;Undang-Undang nomor 16 Tahun 1997;Undang-Undang nomor 7 Tahun 2008;Undang-Undang Nomor 51 Tahun 1999;Undang-Undang Nomor 7 Tahun 2017;Undang-Undang nomor 16 Tahun 1997
01;0101;01;02;4;Definisi perusahaan/usaha industri manufaktur adalah;Suatu unit produksi, terletak pada tempat tertentu, melakukan kegiatan ekonomi, bertujuan mengubah suatu barang menjadi produk baru yang nilainya lebih tinggi;Suatu unit produksi (kesatuan) yang memperkerjakan 20 orang atau lebih;Perusahaan yang bergerak dalam hal perdagangan;Merupakan perusahaan yang dapat dimiliki oleh swasta maupun negara, dapat berupa perusahaan persekutuan;Suatu unit produksi, terletak pada tempat tertentu, melakukan kegiatan ekonomi, bertujuan mengubah suatu barang menjadi produk baru yang nilainya lebih tinggi
01;0101;01;03;4;Tujuan dan Manfaat dari Survei Industri Besar dan Sedang (IBS) adalah;Menyediakan data dan informasi statistik industri besar dan sedang yang lengkap, akurat, relevan dan tepat waktu untuk bahan evaluasi dan perencanaan pembangunan;Memberikan pemahaman dan diagnostik awal atas kondisi aspek organisasi yang dapat mempengaruhi kinerja organisasi jangka panjang seluruh pegawai pada setiap level;Untuk mengetahui kepuasan para pelanggan dengan pelayanan jasa dan produk yang diberikan;Menyelenggarakan pelayanan dibidang perencanaan, ketatausahaan, kepegawaian, keuangan, kearsipan, kehumasan, hukum, perlengkapan dan rumah tangga;Menyediakan data dan informasi statistik industri besar dan sedang yang lengkap, akurat, relevan dan tepat waktu untuk bahan evaluasi dan perencanaan pembangunan
01;0101;01;04;4;Pendekatan apa yang dipakai dalam menentukan cakupan perusahaan/usaha dalam Survei Industri Besar dan Sedang;Jumlah Tenaga Kerja;Jumlah Tenaga Kerja;Jumlah Omset Usaha per Tahun;Jumlah Aset Usaha per Tahun;Semua Jawaban Benar
01;0101;01;05;4;Yang termasuk cakupan perusahaan / usaha yang dicacah dalam Survei IBS Tahunan adalah perusahaan yang memiliki tenaga kerja ;>19 orang;1 - 4 orang;5 - 19 orang;>19 orang;1 - 19 orang
01;0101;01;06;4;Metode yang digunakan dalam pengumpulan informasi Survei IBS Tahunan adalah;Wawancara Langsung dan Tidak Langsung (self-Inumeration);Wawancara Langsung dan Tidak Langsung (self-Inumeration);Observasi;Studi Dokumen;Semua Jawaban Salah
01;0101;01;07;4;Yang termasuk perusahaan Industri skala mikro adalah yang mempunyai jumlah tenaga kerja;1 - 4 orang;1 - 4 orang;5 - 19 orang;20 - 99 orang;>99 orang
01;0101;01;08;4;Yang termasuk perusahaan Industri skala kecil adalah yang mempunyai jumlah tenaga kerja ;5 - 19 orang;1 - 4 orang;5 - 19 orang;20 - 99 orang;>99 orang
01;0101;01;09;4;Yang termasuk perusahaan Industri skala menengah adalah yang mempunyai jumlah tenaga kerja ;20 - 99 orang;1 - 4 orang;5 - 19 orang;20 - 99 orang;>99 orang
01;0101;01;10;4;Yang termasuk perusahaan Industri skala besar adalah yang mempunyai jumlah tenaga kerja ;>99 orang;1 - 4 orang;5 - 19 orang;20 - 99 orang;>99 orang
01;0102;01;11;6;Daftar apa saja yang dipakai dalam Survei IBS Tahunan;IA, IB, IIA, IIB, Updating Perusahaan, Kartu Kendali, IS-L;IA, IB, IIA, IIB, IIC, Updating Perusahaan, Kartu Kendali, IS-L;IA, IB, IIA, IIB, Updating Perusahaan, Kartu Kendali, IS-L;IA, IB, IIA, IIB, Updating Perusahaan, Kartu Kendali;IA, IB, IIA, IIB, Updating Perusahaan, IS-L
01;0102;01;12;6;Daftar IA digunakan untuk;Menjaga kelengkapan, kemutakhiran nama dan alamat perusahaan;Menjaga kelengkapan, kemutakhiran nama dan alamat perusahaan;Melaporkan hasil pengecekan lapangan calon perusahaan tambahan;Mendapatkan data yang benar dari responden;Melaporkan keadaan perusahaan yang tidak dapat mengisi kuesioner survei tahunan
01;0102;01;13;6;Untuk melaporkan hasil pengecekan lapangan calon perusahaan tambahan;IB;IB;Updating Perusahaan;IIA;Daftar I-SL
01;0102;01;14;6;Daftar IIA digunakan untuk;Mendapatkan data yang benar dari responden;Menjaga kelengkapan, kemutakhiran nama dan alamat perusahaan;Melaporkan hasil pengecekan lapangan calon perusahaan tambahan;Mendapatkan data yang benar dari responden;Melaporkan keadaan perusahaan yang tidak dapat mengisi kuesioner survei tahunan
01;0102;01;15;6;Daftar IIB digunakan untuk;Melaporkan keadaan perusahaan yang tidak dapat mengisi kuesioner survei tahunan;Menjaga kelengkapan, kemutakhiran nama dan alamat perusahaan;Melaporkan hasil pengecekan lapangan calon perusahaan tambahan;Mendapatkan data yang benar dari responden;Melaporkan keadaan perusahaan yang tidak dapat mengisi kuesioner survei tahunan
01;0102;01;16;6;Kuesioner Updating Perusahaan digunakan untuk;Untuk mendapatkan informasi umum dan mengecek keberadaan perusahaan aktif menggunakan;Untuk mendapatkan informasi umum dan mengecek keberadaan perusahaan aktif menggunakan;;;
01;0102;01;17;6;Daftar I-SL (C) digunakan untuk;Penyalinan hasil matching perusahaan didalam IA dengan instansi lain pada tingkat nasional;Penyalinan hasil matching perusahaan didalam IA dengan instansi lain pada tingkat nasional;Penyalinan hasil matching perusahaan didalam IA dengan instansi lain pada tingkat provinsi;Penyalinan hasil matching perusahaan didalam IA dengan instansi lain pada tingkat kabupaten/kota;Penyalinan hasil matching perusahaan didalam IA dengan instansi lain, pada tingkat kecamatan
01;0102;01;18;6;Untuk melaporkan hasil matching perusahaan di direktori IBS dengan instansi lain menggunakan;Daftar I-SL;IB;Updating Perusahaan;IIA;Daftar I-SL
